name,desc
MSR 2017_MIX,Majstrovstvá SR 2017_Miešané dvojice
MSR 2017_FSO,Majstrovstvá SR 2017_Forward shoot-out
MSR 2017_SD,Majstrovstvá SR 2017_Speedball doubles
MSR 2017_CD,Majstrovstvá SR 2017_Classic doubles
MSR 2017_OD,Majstrovstvá SR 2017_Open doubles
MSR 2017_WS,Majstrovstvá SR 2017_Women singles
MSR 2017_AD,Majstrovstvá SR 2017_Amateur doubles
MSR 2017_JS,Majstrovstvá SR 2017_Junior singles
MSR 2016_OS,Majstrovstvá SR 2017_Open singles
MSR 2017_DYP,Majstrovstvá SR 2017_DYP
MSR 2017_AS,Majstrovstvá SR 2017_Amateur singles
MSR 2016_WD,Majstrovstvá SR 2017_Women doubles
MSR 2017_JD,Majstrovstvá SR 2017_Junior doubles
SLOVAK OPEN 2016/17_OS,Open singles
SLOVAK OPEN 2016/17_AS,Amateur singles
SLOVAK OPEN 2016/17_AD,Amateur doubles
SLOVAK OPEN 2016/17_OD,Open doubles
SLOVAK OPEN 2016/17_JD,Junior doubles
SLOVAK OPEN 2016/17_JS,Junior singles
SLOVAK OPEN 2016/17_MD,Mixed doubles
SLOVAK OPEN 2016/17_CD,Classic doubles
SLOVAK OPEN 2016/17_WS,Women singles
SLOVAK OPEN 2016/17_DYP,Losované dvojice
ITSF_AS MULTITABLE PRO TOUR 2016/17,Amateur singles
ITSF_OS MULTITABLE PRO TOUR 2016/17,Open singles
ITSF_CD MULTITABLE PRO TOUR 2016/17,Classic doubles
ITSF_JD MULTITABLE PRO TOUR 2016/17,Junior doubles
ITSF_OD MULTITABLE PRO TOUR 2016/17,Open doubles
ITSF_AD MULTITABLE PRO TOUR 2016/17,Amateur doubles
ITSF_JS MULTITABLE PRO TOUR 2016/17,Junior singles
ITSF_WS MULTITABLE PRO TOUR 2016/17,Women singles
ITSF_SD MULTITABLE PRO TOUR 2016/17,Speedball
ITSF_WD MULTITABLE PRO TOUR 2016/17 (X),Women doubles
ITSF_DYP MULTITABLE PRO TOUR 2016/17,Draw your partner
SLOVAK MASTERS 2016/17 WD,Women doubles
SLOVAK MASTERS 2016/17 OS,Open singles
MASTERS DOUBLES 2016/17,Masters doubles
SLOVAK MASTERS 2016/17 AS,Amateur singles
SLOVAK MASTERS 2016/17 JD,Junior doubles
SLOVAK MASTERS 2016/17 FD,Classic doubles
SLOVAK MASTERS 2016/17 FD,Mixed doubles
SLOVAK MASTERS 2016/17 OD,Open doubles
SLOVAK MASTERS 2016/17 AD,Amateur doubles
SLOVAK MASTERS 2016/17 JS,Junior singles
MASTERS SINGLES 2016/17,Masters singles
SLOVAK MASTERS 2016/17 FD,Speedball doubles
SLOVAK MASTERS 2016/17 WS,Women singles
SLOVAK MASTERS 2016/17 DYP,Draw your partner
MSR 2016_DYP,Draw your partner
MSR 2016_2BALL,2Ball rollerball
MSR 2016_MIX,Mixed doubles
MSR 2016_GW,Goalie war
MSR 2016_OLD SCHOOL,Classic doubles
MSR 2016_OD,Open doubles
MSR 2016_OD-B,Open doubles_B
MSR 2016_WS,Women singles
MSR 2016_JS,Junior singles
MSR 2016_Master singles,Masters singles
MSR 2016_WD,Women doubles
MSR 2016_FSO,Forward shoot-out
MSR 2016_JD,Junior doubles
MSR 2016_OS,Open singles
MSR 2015_SDYP,Sundays DYP
MSR 2016_SPEED,Speedball
MSR 2016_AM,Amateur doubles
SLOVENSKÝ POHÁR 2015 / 2016 FD,MAJSTROVSTVÁ UNIVERZÍT 2015/16
SLOVENSKÝ POHÁR 2015/16 WD (nebodované),02_Women doubles
SLOVENSKÝ POHÁR 2015 / 2016 DYP,02_Pro/Am Losované dvojice
SLOVENSKÝ POHÁR 2015 / 2016 OD,02_Open doubles
SLOVENSKÝ POHÁR 2015/16 AM,02_Amatérske dvojice
SLOVENSKÝ POHÁR 2015 / 2016 WS,02_Women singles
SLOVENSKÝ POHÁR 2015 / 2016 JD,02_Junior doubles
SLOVENSKÝ POHÁR 2015 / 2016 FS,02_Vojna brankárov
SLOVENSKÝ POHÁR 2015 / 2016 JS,02_Junior singles
SLOVENSKÝ POHÁR 2015 / 2016 OS,02_Open singles
SLOVENSKÝ POHÁR 2015 / 2016 FD,02_Miešané dvojice
SLOVENSKÝ POHÁR 2015 / 2016 FD,02_Old school dvojice
ITSF MULTITABLE PRO TOUR 2015/16_OD,02_Open doubles
ITSF MULTITABLE PRO TOUR 2015/16_AM,02_Amateur doubles
ITSF MULTITABLE PRO TOUR 2015/16_OS,02_Open singles
